,latitude,longitude,NO2gm,NO2mol,NO2mol_prec,plant_dist,popdens
100706,-22.8594360351562,-46.0697212219238,0.0002635506043588,5.72936096432386e-06,2.21758309635334e-05,12242.7568496358,11.727368154316615
100710,-22.8262825012207,-45.9279479980469,0.0004739643864013,1.03035736174206e-05,2.61628556472715e-05,18355.7705465138,10.018209873393157
100711,-22.8180713653564,-45.8926467895508,0.0036860474938293,8.01314672571607e-05,6.49041830911301e-05,21332.5096114115,9.683575320210021
100712,-22.8098888397217,-45.8574028015137,0.0025790725267143,5.60667940590065e-05,2.98969644063618e-05,24524.8236565483,7.268482041682711
100713,-22.8017349243164,-45.8222122192383,0.0005633000855596,1.22456540339044e-05,4.29336178058293e-05,27856.4418011652,8.986522665944074
100714,-22.7936115264893,-45.7870712280273,0.0001353134784949,2.94159735858557e-06,3.52304668922443e-05,31281.0958318823,39.25812641180433
100715,-22.785514831543,-45.7519798278809,0.0003971641926909,8.63400418893434e-06,3.4053697163472e-05,33919.4511611135,60.93454865633152
100717,-22.7694034576416,-45.6819381713867,0.0015513121106778,3.37241763190832e-05,2.40880508499686e-05,31463.9151352105,54.808584033484976
100720,-22.7454376220703,-45.5771980285645,0.00081505565322,1.77186011569574e-05,2.01702277990989e-05,30951.5082666919,598.8087974177446
100721,-22.7374992370605,-45.542366027832,6.9874160544714e-05,1.51900349010248e-06,1.83216143341269e-05,31663.8646574159,221.18425835902343
100722,-22.7295875549316,-45.507568359375,1.11245896050605e-05,2.41838904457836e-07,2.30522909987485e-05,32337.5325822967,19.90072350833259
100723,-22.7216987609863,-45.4728050231934,0.0002675610548976,5.81654467168846e-06,2.24742143473122e-05,29441.4099834547,3.414344106051832
100724,-22.7138347625732,-45.4380760192871,0.000575198291699,1.25043106891098e-05,1.44497525980114e-05,26748.9640779419,3.5857357179591283
100725,-22.7059955596924,-45.4033813476562,0.0014590459977625,3.17183912557084e-05,3.2975927751977e-05,24326.0343467587,4.111933887958959
100726,-22.6981773376465,-45.3687133789062,0.0009251144365407,2.01111834030598e-05,2.62880803347798e-05,22258.5088262126,3.807556156956222
100727,-22.6903839111328,-45.3340759277344,0.001567424951645,3.40744554705452e-05,2.19762514461763e-05,20488.7295238639,3.174625835758785
100729,-22.674861907959,-45.2648773193359,0.0014465906933764,3.14476237690542e-05,1.95815810002387e-05,15727.0054305991,7.005522262696616
100730,-22.6671352386475,-45.2303123474121,0.0012566789300763,2.73191071755718e-05,1.71328883880051e-05,14211.0650408274,5.705303830147531
100733,-22.6440753936768,-45.1267471313477,0.0011428939978941,2.48455216933507e-05,1.64513621712103e-05,12328.6249585983,10.898843420409793
100735,-22.6288051605225,-45.057788848877,0.0012642783258343,2.74843114311807e-05,1.67119869729504e-05,14375.3812360948,90.11584874278861
100736,-22.6211986541748,-45.0233306884766,0.0014665066628367,3.18805796268862e-05,1.67633479577489e-05,16564.8404896733,293.9390129299492
100737,-22.6136112213135,-44.988883972168,0.0013632937952934,2.96368216368137e-05,1.63758359121857e-05,19210.1333549159,667.3477463135828
100739,-22.5984916687012,-44.9200210571289,0.0011456181564426,2.4904742531362e-05,1.68350688909413e-05,25275.5986093832,49.24814095034951
100740,-22.5909576416016,-44.8856010437012,0.0009896880474116,2.15149575524265e-05,1.54328536154935e-05,28530.7999187524,12.667745998009902
100743,-22.5684623718262,-44.7823677062988,0.0008876369029167,1.92964544112328e-05,1.59474839165341e-05,38732.4462612559,142.5519195611927
100744,-22.5609970092773,-44.7479591369629,0.001232840346347,2.68008770945016e-05,1.66208938026102e-05,42219.7801571807,92.08658455518028
100745,-22.5535488128662,-44.713550567627,0.000229545458751,4.99011866850196e-06,1.45043077282025e-05,45733.9317117353,37.184329266394656
100746,-22.5461158752441,-44.6791381835938,0.0005326797218003,1.15799939521821e-05,1.58835864567664e-05,43791.1815039389,69.70093591312965
100747,-22.5386962890625,-44.644718170166,0.0004966330889146,1.07963714981452e-05,1.55602301674662e-05,40150.8490304299,8.93924168019227
100748,-22.5312938690186,-44.6102981567383,0.0006897765742905,1.49951429193607e-05,1.63272052304819e-05,36516.0558608819,97.84289775192188
100749,-22.523904800415,-44.5758666992188,0.0015513584658037,3.37251840392128e-05,1.76214471139247e-05,32887.235471813,166.99555725325877
100750,-22.5165309906006,-44.5414276123047,0.0009707969948067,2.11042824957985e-05,1.67662237799959e-05,29267.3661919533,169.19592494863673
100751,-22.5091705322266,-44.5069770812988,0.0007146645075408,1.55361849465407e-05,1.54012122948188e-05,25659.956934962,791.3543622924101
100752,-22.5018253326416,-44.4725112915039,0.00173391080898,3.76937132386956e-05,1.83761349035194e-05,22071.2651898934,1286.7827049150649
100753,-22.4944915771484,-44.4380340576172,0.0008603349888289,1.87029345397605e-05,1.64547691383632e-05,18513.0206406173,1091.316640393154
100754,-22.4871711730957,-44.4035415649414,0.000514851657499,1.11924273369368e-05,1.58609418576816e-05,15007.3147272981,135.17885206614363
100755,-22.4798641204834,-44.3690299987793,0.0016788036009529,3.64957304554991e-05,1.86394190677674e-05,11602.7122130198,110.30534785356758
100756,-22.4725704193115,-44.3344993591309,0.0005161409826541,1.12204561446561e-05,1.67597845575074e-05,8424.81536169928,36.553379841215694
100757,-22.4652862548828,-44.2999496459961,0.0004872518657066,1.05924318631878e-05,1.53341661643935e-05,5857.80535145711,256.14080597811954
100758,-22.4580154418945,-44.2653770446777,0.0001895491850518,4.12063445764943e-06,1.60739291459322e-05,4967.36309795715,61.220979336931585
100759,-22.450756072998,-44.2307815551758,0.0005051057851233,1.09805605461588e-05,1.66732061188668e-05,6488.62091882534,7.525662173231184
100760,-22.4435081481934,-44.196159362793,0.0009140929614659,1.98715861188248e-05,1.69875729625346e-05,9308.50800501892,2.422030498110746
100761,-22.4362697601318,-44.161506652832,0.0008586526491853,1.86663619388128e-05,1.70158036780776e-05,11726.9624972581,1.969115598036503
100763,-22.4218254089355,-44.0921211242676,0.0003977548858529,8.64684534462867e-06,1.65837009262759e-05,11115.3636477629,9.81217970148162
100764,-22.4146175384521,-44.0573768615723,0.0001039971498357,2.26080760512559e-06,1.60806775966194e-05,12544.3649138467,10.051683464252658
100767,-22.3930511474609,-43.952938079834,0.0018329795784666,3.98473821405787e-05,2.16633961827029e-05,20562.9191915289,7.054673483173232
100768,-22.3858814239502,-43.9180526733398,0.000183700866728,3.99349710278329e-06,1.90043701877585e-05,23796.2273475166,25.8558550370764
100770,-22.3715629577637,-43.8481483459473,9.5866312221915e-05,2.0840502656938e-06,1.65923484019004e-05,30596.3623301668,61.33477059118694
100771,-22.3644161224365,-43.8131332397461,0.0007035686467133,1.52949705807259e-05,1.84345972229494e-05,34099.1265361399,13.831050593939414
100773,-22.3501453399658,-43.7429580688477,0.0005052512096881,1.09837219497422e-05,1.69424929481465e-05,41230.2177858818,16.150715417809536
100774,-22.3430194854736,-43.7077980041504,0.0009942647375282,2.16144508158322e-05,1.76396970346104e-05,42026.9414546867,71.08583355007225
100776,-22.3287887573242,-43.637321472168,0.0002958999975817,6.43260864308104e-06,1.74489741766592e-05,42976.3877190414,5.879925932436656
100777,-22.3216819763184,-43.6020011901855,0.0004154863072471,9.03231102711288e-06,1.76253506651847e-05,43923.4363384538,8.46604557501613
